"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","846","Check the first and last product before applying filter and after applying the filter","firefox","Tue May 27 04:06:11 UTC 2025","passed","Tue May 27 04:06:12 UTC 2025","","ui/end2end.spec.ts","",""
"","875","Add to products into the cart","chromium","Tue May 27 04:06:05 UTC 2025","passed","Tue May 27 04:06:06 UTC 2025","","ui/end2end.spec.ts","",""
"","671","count the number of products","chromium","Tue May 27 04:06:03 UTC 2025","passed","Tue May 27 04:06:04 UTC 2025","","ui/end2end.spec.ts","",""
"","1302","count the number of products","webkit","Tue May 27 04:06:14 UTC 2025","passed","Tue May 27 04:06:15 UTC 2025","","ui/end2end.spec.ts","",""
"","1299","Add to products into the cart","firefox","Tue May 27 04:06:12 UTC 2025","passed","Tue May 27 04:06:13 UTC 2025","","ui/end2end.spec.ts","",""
"","527","Add the product into the cart and assert if it is added or not","chromium","Tue May 27 04:06:04 UTC 2025","passed","Tue May 27 04:06:05 UTC 2025","","ui/end2end.spec.ts","",""
"","834","Check the first and last product before applying filter and after applying the filter","webkit","Tue May 27 04:06:18 UTC 2025","passed","Tue May 27 04:06:19 UTC 2025","","ui/end2end.spec.ts","",""
"","466","check the product available or not","chromium","Tue May 27 04:06:04 UTC 2025","passed","Tue May 27 04:06:04 UTC 2025","","ui/end2end.spec.ts","",""
"","888","Add the product into the cart and assert if it is added or not","webkit","Tue May 27 04:06:17 UTC 2025","passed","Tue May 27 04:06:18 UTC 2025","","ui/end2end.spec.ts","",""
"","726","check the product available or not","firefox","Tue May 27 04:06:09 UTC 2025","passed","Tue May 27 04:06:10 UTC 2025","","ui/end2end.spec.ts","",""
"","808","check the product available or not","webkit","Tue May 27 04:06:16 UTC 2025","passed","Tue May 27 04:06:17 UTC 2025","","ui/end2end.spec.ts","",""
"","1202","Add to products into the cart","webkit","Tue May 27 04:06:19 UTC 2025","passed","Tue May 27 04:06:20 UTC 2025","","ui/end2end.spec.ts","",""
"","1720","count the number of products","firefox","Tue May 27 04:06:07 UTC 2025","passed","Tue May 27 04:06:09 UTC 2025","","ui/end2end.spec.ts","",""
"","797","Add the product into the cart and assert if it is added or not","firefox","Tue May 27 04:06:10 UTC 2025","passed","Tue May 27 04:06:11 UTC 2025","","ui/end2end.spec.ts","",""
"","561","Check the first and last product before applying filter and after applying the filter","chromium","Tue May 27 04:06:05 UTC 2025","passed","Tue May 27 04:06:05 UTC 2025","","ui/end2end.spec.ts","",""
